Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
4,204,4.204,ΑΓΑΜΕΜΝΩΝ,καλέει,Talthybius,Machaon,"ὄρσ’ Ἀσκληπιάδη, καλέει κρείων Ἀγαμέμνων,"
4,204,4.204,ΑΓΑΜΕΜΝΩΝ,κρείων,Talthybius,Machaon,"ὄρσ’ Ἀσκληπιάδη, καλέει κρείων Ἀγαμέμνων,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,ὄφρα,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,ἴδῃς,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,ἀρήϊον,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,ἀρχὸν,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,Ἀχαιῶν,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,Μενέλαον ἀρήϊον,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,ἀρήϊον ἀρχὸν,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,205,4.205,ΜΕΝΕΛΑΟΣ,ἀρχὸν Ἀχαιῶν,Talthybius,Machaon,"ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν,"
4,210,4.210,ΜΕΝΕΛΑΟΣ,ὅτε,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,210,4.210,ΜΕΝΕΛΑΟΣ,δή,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,210,4.210,ΜΕΝΕΛΑΟΣ,ῥ’,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,210,4.210,ΜΕΝΕΛΑΟΣ,ἵκανον,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,210,4.210,ΜΕΝΕΛΑΟΣ,ὅθι,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,210,4.210,ΜΕΝΕΛΑΟΣ,ξανθὸς,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,210,4.210,ΜΕΝΕΛΑΟΣ,ῥ’ ἵκανον ὅθι ξανθὸς,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,210,4.210,ΜΕΝΕΛΑΟΣ,ξανθὸς Μενέλαος,,,ἀλλ’ ὅτε δή ῥ’ ἵκανον ὅθι ξανθὸς Μενέλαος
4,220,4.220,ΜΕΝΕΛΑΟΣ,ὄφρα,,,"ὄφρα τοὶ ἀμφεπένοντο βοὴν ἀγαθὸν Μενέλαον,"
