Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
2,567,2.567,ΔΙΟΜΗΔΗΣ,ἀγαθὸς,,,συμπάντων δ’ ἡγεῖτο βοὴν ἀγαθὸς Διομήδης·
2,567,2.567,ΔΙΟΜΗΔΗΣ,βοὴν ἀγαθὸς,,,συμπάντων δ’ ἡγεῖτο βοὴν ἀγαθὸς Διομήδης·
2,577,2.577,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,Ἀτρεΐδης· ἅμα τῷ γε πολὺ πλεῖστοι καὶ ἄριστοι
2,586,2.586,ΜΕΝΕΛΑΟΣ,ἀγαθὸς,,,τῶν οἱ ἀδελφεὸς ἦρχε βοὴν ἀγαθὸς Μενέλαος
2,586,2.586,ΜΕΝΕΛΑΟΣ,βοὴν ἀγαθὸς,,,τῶν οἱ ἀδελφεὸς ἦρχε βοὴν ἀγαθὸς Μενέλαος
2,601,2.601,ΝΕΣΤΩΡ,Γερήνιος,,,τῶν αὖθ’ ἡγεμόνευε Γερήνιος ἱππότα Νέστωρ·
2,601,2.601,ΝΕΣΤΩΡ,ἱππότα,,,τῶν αὖθ’ ἡγεμόνευε Γερήνιος ἱππότα Νέστωρ·
2,612,2.612,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,αὐτὸς γάρ σφιν δῶκεν ἄναξ ἀνδρῶν Ἀγαμέμνων
2,614,2.614,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,"Ἀτρεΐδης, ἐπεὶ οὔ σφι θαλάσσια ἔργα μεμήλει."
2,636,2.636,ΟΔΥΣΣΕΥΣ,ἀτάλαντος,,,τῶν μὲν Ὀδυσσεὺς ἦρχε Διὶ μῆτιν ἀτάλαντος·
2,645,2.645,ΙΔΟΜΕΝΕΥΣ,κλυτὸς,,,"Κρητῶν δ’ Ἰδομενεὺς δουρὶ κλυτὸς ἡγεμόνευεν,"
2,650,2.650,ΙΔΟΜΕΝΕΥΣ,κλυτὸς,,,τῶν μὲν ἄρ’ Ἰδομενεὺς δουρὶ κλυτὸς ἡγεμόνευε
2,688,2.688,ΑΧΙΛΛΕΥΣ,ποδάρκης,,,κεῖτο γὰρ ἐν νήεσσι ποδάρκης δῖος Ἀχιλλεὺς
2,688,2.688,ΑΧΙΛΛΕΥΣ,δῖος,,,κεῖτο γὰρ ἐν νήεσσι ποδάρκης δῖος Ἀχιλλεὺς
2,762,2.762,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδῃσιν,,,"αὐτῶν ἠδ’ ἵππων, οἳ ἅμ’ Ἀτρεΐδῃσιν ἕποντο."
2,768,2.768,ΑΙΑΣ,ἄριστος,,,ἀνδρῶν αὖ μέγ’ ἄριστος ἔην Τελαμώνιος Αἴας
2,768,2.768,ΑΙΑΣ,Τελαμώνιος,,,ἀνδρῶν αὖ μέγ’ ἄριστος ἔην Τελαμώνιος Αἴας
2,773,2.773,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδῃ,,,Ἀτρεΐδῃ· λαοὶ δὲ παρὰ ῥηγμῖνι θαλάσσης
2,816,2.816,ΕΚΤΩΡ,μέγας,,,Τρωσὶ μὲν ἡγεμόνευε μέγας κορυθαίολος Ἕκτωρ
2,816,2.816,ΕΚΤΩΡ,κορυθαίολος,,,Τρωσὶ μὲν ἡγεμόνευε μέγας κορυθαίολος Ἕκτωρ
2,817,2.817,ΕΚΤΩΡ,Πριαμίδης,,,Πριαμίδης· ἅμα τῷ γε πολὺ πλεῖστοι καὶ ἄριστοι
2,875,2.875,ΑΧΙΛΛΕΥΣ,δαΐφρων,,,"ἐν ποταμῷ, χρυσὸν δ’ Ἀχιλεὺς ἐκόμισσε δαΐφρων."
3,16,3.16,ΠΑΡΙΣ,θεοειδὴς,,,Τρωσὶν μὲν προμάχιζεν Ἀλέξανδρος θεοειδὴς
3,21,3.21,ΜΕΝΕΛΑΟΣ,ἀρηΐφιλος,,,τὸν δ’ ὡς οὖν ἐνόησεν ἀρηΐφιλος Μενέλαος
